;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
167;28;J.D. (Doede) de Vries;M;757091;1627;D66;12;11;32;17;58;42;11;0.0;32
168;29;A.G.W. (Anneke) Groen;V;757091;478;D66;12;11;32;17;58;42;11;0.0;32
169;30;H.M. (Hélène) Steenhoff;V;757091;243;D66;12;11;32;17;58;42;11;0.0;32
170;31;T.C. (Thomas) Walder;M;757091;649;D66;12;11;32;17;58;42;11;0.0;32
171;32;B. (Bart) van Grevenhof;M;757091;144;D66;12;11;32;17;58;42;11;0.0;32
172;33;P.W.L. (Pim) de Kuijer;M;757091;172;D66;12;11;32;17;58;42;11;0.0;32
173;34;C.J. (Caecilia) van Peski;V;757091;460;D66;12;11;32;17;58;42;11;0.0;32
174;35;S.T. (Sabine) Verschoor;V;757091;455;D66;12;11;32;17;58;42;11;0.0;32
175;36;M.A. (Michiel) Rijsberman;M;757091;236;D66;12;11;32;17;58;42;11;0.0;32
176;37;J.C. (Joost) Koomen;M;757091;165;D66;12;11;32;17;58;42;11;0.0;32
177;38;B.T. (Bastiaan) Winkel;M;757091;210;D66;12;11;32;17;58;42;11;0.0;32
178;39;D.C. (Dilia) Leitner;V;757091;210;D66;12;11;32;17;58;42;11;0.0;32
179;40;R.J. (Robert) van Asten;M;757091;256;D66;12;11;32;17;58;42;11;0.0;32
180;41;E. (Ellenus) Venema;M;757091;358;D66;12;11;32;17;58;42;11;0.0;32
181;42;J.C. (Joris) Visser;M;757091;193;D66;12;11;32;17;58;42;11;0.0;32
182;43;H. (Huub) Halsema;M;757091;300;D66;12;11;32;17;58;42;11;0.0;32
183;44;G.J. (Gijs) van Loef;M;757091;140;D66;12;11;32;17;58;42;11;0.0;32
184;45;C.W. (Kees) de Zeeuw;M;757091;236;D66;12;11;32;17;58;42;11;0.0;32
185;46;L. (Laurens) Verspuij;M;757091;162;D66;12;11;32;17;58;42;11;0.0;32
186;47;P.F. (Pieter) de Groene;M;757091;160;D66;12;11;32;17;58;42;11;0.0;32
187;48;L.J. (Linda) Carton;V;757091;474;D66;12;11;32;17;58;42;11;0.0;32
188;49;J.C. (Rineke) Gieske-Mastenbroek;V;757091;2367;D66;12;11;32;17;58;42;11;0.0;32
189;1;J.C.M. (Jolande) Sap;V;219896;171971;GROENLINKS;4;4;24;18;52;48;4;1.0;24
190;2;A. (Bram) van Ojik;M;219896;4639;GROENLINKS;4;4;24;18;52;48;4;1.0;24
191;3;L. (Liesbeth) van Tongeren;V;219896;10205;GROENLINKS;4;4;24;18;52;48;4;1.0;24
192;4;J.F. (Jesse) Klaver;M;219896;3351;GROENLINKS;4;4;24;18;52;48;4;1.0;24
193;5;L.G.J. (Linda) Voortman;V;219896;4477;GROENLINKS;4;4;24;18;52;48;4;0.0;24
194;6;H.J. (Rik) Grashoff;M;219896;1764;GROENLINKS;4;4;24;18;52;48;4;0.0;24
